RA[deg]	DEC[deg]	z_low	layer
196.2672	17.6680	0.05	10
226.0541	17.6680	0.05	10
165.3632	17.4778	0.05	10
236.2743	17.3510	0.05	10
139.5094	17.1609	0.05	10
218.1018	17.1609	0.05	10
178.8771	16.8442	0.05	10
187.9980	16.5277	0.05	10
219.0361	16.2114	0.05	10
146.4579	15.9586	0.05	10
159.6387	15.7058	0.05	10
209.0816	15.3900	0.05	10
137.7153	15.3269	0.05	10
135.2940	15.1375	0.05	10
169.0721	13.8767	0.05	10
183.0634	13.8767	0.05	10
134.2583	13.3731	0.05	10
235.4157	12.4300	0.05	10
150.1173	12.3043	0.05	10
158.6331	11.1118	0.05	10
222.1824	11.1118	0.05	10
171.2231	10.8610	0.05	10
153.3362	10.6102	0.05	10
224.2801	10.6102	0.05	10
188.2890	10.5475	0.05	10
128.6121	9.8585	0.05	10
141.7914	9.7958	0.05	10
125.7017	9.2951	0.05	10
122.0872	8.9197	0.05	10
175.6623	8.9197	0.05	10
198.9261	8.5444	0.05	10
199.4059	8.4819	0.05	10
199.1268	8.3569	0.05	10
203.3855	8.1693	0.05	10
193.3942	7.2321	0.05	10
177.2559	6.4829	0.05	10
239.1321	6.2333	0.05	10
164.2940	6.1085	0.05	10
231.2695	5.4846	0.05	10
231.5307	5.2351	0.05	10
170.7603	3.9260	0.05	10
171.5151	3.6144	0.05	10
127.2585	3.0537	0.05	10
127.7374	3.0537	0.05	10
231.7166	3.0537	0.05	10
141.5583	2.9291	0.05	10
168.3722	2.9291	0.05	10
215.0193	2.7422	0.05	10
213.0308	2.4308	0.05	10
134.3888	2.3685	0.05	10
152.5104	2.3685	0.05	10
161.6074	2.1194	0.05	10
191.9665	2.1194	0.05	10
199.0743	1.6212	0.05	10
179.3170	1.5589	0.05	10
195.3141	58.3690	0.055	11
220.7233	57.2552	0.055	11
155.5711	55.9189	0.055	11
204.4616	55.3736	0.055	11
228.9892	54.7537	0.055	11
176.5155	54.5221	0.055	11
142.6133	54.0604	0.055	11
196.0107	53.9070	0.055	11
144.7690	52.8383	0.055	11
129.9392	52.2320	0.055	11
198.7119	51.7792	0.055	11
178.7514	51.7039	0.055	11
178.9358	51.5535	0.055	11
153.2065	51.1032	0.055	11
182.4303	47.1919	0.055	11
200.5715	46.5386	0.055	11
199.9112	45.8882	0.055	11
166.1873	43.9535	0.055	11
234.9725	41.4799	0.055	11
191.9991	40.9195	0.055	11
